year,country,country_iso2,region,region_trase_id,parent_region,parent_region_trase_id,deforestation_hectares
2007,INDONESIA,ID,PAPUA,ID-94,PAPUA,ID-PP,17493.15388
2007,INDONESIA,ID,PAPUA BARAT,ID-91,PAPUA,ID-PP,7103.409176
2007,INDONESIA,ID,RIAU,ID-14,SUMATERA,ID-SM,118362.3296
2007,INDONESIA,ID,SULAWESI BARAT,ID-76,SULAWESI,ID-SL,848.0537647
2007,INDONESIA,ID,SULAWESI SELATAN,ID-73,SULAWESI,ID-SL,2246.404235
2007,INDONESIA,ID,SULAWESI TENGAH,ID-72,SULAWESI,ID-SL,10778.72224
2007,INDONESIA,ID,SULAWESI TENGGARA,ID-74,SULAWESI,ID-SL,4252.511294
2007,INDONESIA,ID,SULAWESI UTARA,ID-71,SULAWESI,ID-SL,1720.864588
2007,INDONESIA,ID,SUMATERA BARAT,ID-13,SUMATERA,ID-SM,20016.15706
2007,INDONESIA,ID,SUMATERA SELATAN,ID-16,SUMATERA,ID-SM,2835.871059
2007,INDONESIA,ID,SUMATERA UTARA,ID-12,SUMATERA,ID-SM,16473.06035
2008,INDONESIA,ID,ACEH,ID-11,SUMATERA,ID-SM,21045.60494
2008,INDONESIA,ID,BALI,ID-51,NUSA TENGGARA,ID-NU,1.53
2008,INDONESIA,ID,BANTEN,ID-36,JAWA,ID-JW,3.06
2008,INDONESIA,ID,BENGKULU,ID-17,SUMATERA,ID-SM,2253.594353
2008,INDONESIA,ID,D I YOGYAKARTA,ID-34,JAWA,ID-JW,0
2008,INDONESIA,ID,DKI JAKARTA,ID-31,JAWA,ID-JW,0
2008,INDONESIA,ID,GORONTALO,ID-75,SULAWESI,ID-SL,379.6902353
2008,INDONESIA,ID,JAMBI,ID-15,SUMATERA,ID-SM,52164.15635
2008,INDONESIA,ID,JAWA BARAT,ID-32,JAWA,ID-JW,243.8032941
2008,INDONESIA,ID,JAWA TENGAH,ID-33,JAWA,ID-JW,30.95964706
2008,INDONESIA,ID,JAWA TIMUR,ID-35,JAWA,ID-JW,263.8718824
2008,INDONESIA,ID,KALIMANTAN BARAT,ID-61,KALIMANTAN,ID-KA,86424.10235
2008,INDONESIA,ID,KALIMANTAN SELATAN,ID-63,KALIMANTAN,ID-KA,5153.283882
2008,INDONESIA,ID,KALIMANTAN TENGAH,ID-62,KALIMANTAN,ID-KA,91991.93188
2008,INDONESIA,ID,KALIMANTAN TIMUR,ID-64,KALIMANTAN,ID-KA,16209.88588
2008,INDONESIA,ID,KALIMANTAN UTARA,ID-65,KALIMANTAN,ID-KA,24085.49965
2008,INDONESIA,ID,KEP. BANGKA BELITUNG,ID-19,SUMATERA,ID-SM,3034.516941
2008,INDONESIA,ID,KEP. RIAU,ID-21,SUMATERA,ID-SM,1641.921882
2008,INDONESIA,ID,LAMPUNG,ID-18,SUMATERA,ID-SM,625.7668235
2008,INDONESIA,ID,MALUKU,ID-81,MALUKU,ID-ML,684.5827059
2008,INDONESIA,ID,MALUKU UTARA,ID-82,MALUKU,ID-ML,2150.941059
2008,INDONESIA,ID,NUSA TENGGARA BARAT,ID-52,NUSA TENGGARA,ID-NU,249.93
2008,INDONESIA,ID,NUSA TENGGARA TIMUR,ID-53,NUSA TENGGARA,ID-NU,160.2
2008,INDONESIA,ID,PAPUA,ID-94,PAPUA,ID-PP,16127.40035
2008,INDONESIA,ID,PAPUA BARAT,ID-91,PAPUA,ID-PP,8328.672706
2008,INDONESIA,ID,RIAU,ID-14,SUMATERA,ID-SM,100268.5712
2008,INDONESIA,ID,SULAWESI BARAT,ID-76,SULAWESI,ID-SL,2195.136706
2008,INDONESIA,ID,SULAWESI SELATAN,ID-73,SULAWESI,ID-SL,1625.442353
2008,INDONESIA,ID,SULAWESI TENGAH,ID-72,SULAWESI,ID-SL,10796.38165
2008,INDONESIA,ID,SULAWESI TENGGARA,ID-74,SULAWESI,ID-SL,2774.050941
2008,INDONESIA,ID,SULAWESI UTARA,ID-71,SULAWESI,ID-SL,639.444
2008,INDONESIA,ID,SUMATERA BARAT,ID-13,SUMATERA,ID-SM,25262.65694
2008,INDONESIA,ID,SUMATERA SELATAN,ID-16,SUMATERA,ID-SM,7845.162706
2008,INDONESIA,ID,SUMATERA UTARA,ID-12,SUMATERA,ID-SM,29890.49506
2009,INDONESIA,ID,ACEH,ID-11,SUMATERA,ID-SM,31633.63412
2009,INDONESIA,ID,BALI,ID-51,NUSA TENGGARA,ID-NU,13.59
2009,INDONESIA,ID,BANTEN,ID-36,JAWA,ID-JW,16.64894118
2009,INDONESIA,ID,BENGKULU,ID-17,SUMATERA,ID-SM,3052.237412
2009,INDONESIA,ID,D I YOGYAKARTA,ID-34,JAWA,ID-JW,0
2009,INDONESIA,ID,DKI JAKARTA,ID-31,JAWA,ID-JW,0
2009,INDONESIA,ID,GORONTALO,ID-75,SULAWESI,ID-SL,2204.547529
2009,INDONESIA,ID,JAMBI,ID-15,SUMATERA,ID-SM,38362.05529
2009,INDONESIA,ID,JAWA BARAT,ID-32,JAWA,ID-JW,154.5218824
2009,INDONESIA,ID,JAWA TENGAH,ID-33,JAWA,ID-JW,44.18964706
2009,INDONESIA,ID,JAWA TIMUR,ID-35,JAWA,ID-JW,381.4694118
2009,INDONESIA,ID,KALIMANTAN BARAT,ID-61,KALIMANTAN,ID-KA,105538.8964
2009,INDONESIA,ID,KALIMANTAN SELATAN,ID-63,KALIMANTAN,ID-KA,18838.47141
2009,INDONESIA,ID,KALIMANTAN TENGAH,ID-62,KALIMANTAN,ID-KA,80426.98482
2009,INDONESIA,ID,KALIMANTAN TIMUR,ID-64,KALIMANTAN,ID-KA,33178.43118
2009,INDONESIA,ID,KALIMANTAN UTARA,ID-65,KALIMANTAN,ID-KA,35171.09118
2009,INDONESIA,ID,KEP. BANGKA BELITUNG,ID-19,SUMATERA,ID-SM,9208.820824
2009,INDONESIA,ID,KEP. RIAU,ID-21,SUMATERA,ID-SM,1724.884588
2009,INDONESIA,ID,LAMPUNG,ID-18,SUMATERA,ID-SM,601.5204706
2009,INDONESIA,ID,MALUKU,ID-81,MALUKU,ID-ML,4015.799294
2009,INDONESIA,ID,MALUKU UTARA,ID-82,MALUKU,ID-ML,5240.959412
