year,country,country_iso2,region,region_trase_id,parent_region,parent_region_trase_id,natural_forest_area_hectares
2006,INDONESIA,ID,KEP. BANGKA BELITUNG,ID-19,SUMATERA,ID-SM,258840.9053
2006,INDONESIA,ID,KEP. RIAU,ID-21,SUMATERA,ID-SM,224052.8231
2006,INDONESIA,ID,LAMPUNG,ID-18,SUMATERA,ID-SM,263201.9026
2006,INDONESIA,ID,MALUKU,ID-81,MALUKU,ID-ML,3076255.865
2006,INDONESIA,ID,MALUKU UTARA,ID-82,MALUKU,ID-ML,2245550.292
2006,INDONESIA,ID,NUSA TENGGARA BARAT,ID-52,NUSA TENGGARA,ID-NU,451487.6301
2006,INDONESIA,ID,NUSA TENGGARA TIMUR,ID-53,NUSA TENGGARA,ID-NU,171263.0721
2006,INDONESIA,ID,PAPUA,ID-94,PAPUA,ID-PP,25235346.85
2006,INDONESIA,ID,PAPUA BARAT,ID-91,PAPUA,ID-PP,9687349.439
2006,INDONESIA,ID,RIAU,ID-14,SUMATERA,ID-SM,2848592.999
2006,INDONESIA,ID,SULAWESI BARAT,ID-76,SULAWESI,ID-SL,356414.4607
2006,INDONESIA,ID,SULAWESI SELATAN,ID-73,SULAWESI,ID-SL,1177014.783
2006,INDONESIA,ID,SULAWESI TENGAH,ID-72,SULAWESI,ID-SL,5442521.081
2006,INDONESIA,ID,SULAWESI TENGGARA,ID-74,SULAWESI,ID-SL,1621382.443
2006,INDONESIA,ID,SULAWESI UTARA,ID-71,SULAWESI,ID-SL,689271.8651
2006,INDONESIA,ID,SUMATERA BARAT,ID-13,SUMATERA,ID-SM,2606752.826
2006,INDONESIA,ID,SUMATERA SELATAN,ID-16,SUMATERA,ID-SM,859538.5556
2006,INDONESIA,ID,SUMATERA UTARA,ID-12,SUMATERA,ID-SM,2000017.924
2007,INDONESIA,ID,ACEH,ID-11,SUMATERA,ID-SM,3582445.918
2007,INDONESIA,ID,BALI,ID-51,NUSA TENGGARA,ID-NU,63657.65082
2007,INDONESIA,ID,BANTEN,ID-36,JAWA,ID-JW,65892.99247
2007,INDONESIA,ID,BENGKULU,ID-17,SUMATERA,ID-SM,254031.6886
2007,INDONESIA,ID,D I YOGYAKARTA,ID-34,JAWA,ID-JW,10.8
2007,INDONESIA,ID,DKI JAKARTA,ID-31,JAWA,ID-JW,48.39564706
2007,INDONESIA,ID,GORONTALO,ID-75,SULAWESI,ID-SL,339560.4939
2007,INDONESIA,ID,JAMBI,ID-15,SUMATERA,ID-SM,1953548.38
2007,INDONESIA,ID,JAWA BARAT,ID-32,JAWA,ID-JW,293243.5966
2007,INDONESIA,ID,JAWA TENGAH,ID-33,JAWA,ID-JW,87859.21941
2007,INDONESIA,ID,JAWA TIMUR,ID-35,JAWA,ID-JW,264006.0836
2007,INDONESIA,ID,KALIMANTAN BARAT,ID-61,KALIMANTAN,ID-KA,9542633.82
2007,INDONESIA,ID,KALIMANTAN SELATAN,ID-63,KALIMANTAN,ID-KA,1005276.704
2007,INDONESIA,ID,KALIMANTAN TENGAH,ID-62,KALIMANTAN,ID-KA,7761632.302
2007,INDONESIA,ID,KALIMANTAN TIMUR,ID-64,KALIMANTAN,ID-KA,6529506.506
2007,INDONESIA,ID,KALIMANTAN UTARA,ID-65,KALIMANTAN,ID-KA,3920019.75
2007,INDONESIA,ID,KEP. BANGKA BELITUNG,ID-19,SUMATERA,ID-SM,255449.5613
2007,INDONESIA,ID,KEP. RIAU,ID-21,SUMATERA,ID-SM,223153.6246
2007,INDONESIA,ID,LAMPUNG,ID-18,SUMATERA,ID-SM,262779.5245
2007,INDONESIA,ID,MALUKU,ID-81,MALUKU,ID-ML,3074791.754
2007,INDONESIA,ID,MALUKU UTARA,ID-82,MALUKU,ID-ML,2243265.544
2007,INDONESIA,ID,NUSA TENGGARA BARAT,ID-52,NUSA TENGGARA,ID-NU,451149.7722
2007,INDONESIA,ID,NUSA TENGGARA TIMUR,ID-53,NUSA TENGGARA,ID-NU,170992.8949
2007,INDONESIA,ID,PAPUA,ID-94,PAPUA,ID-PP,25217853.69
2007,INDONESIA,ID,PAPUA BARAT,ID-91,PAPUA,ID-PP,9680246.029
2007,INDONESIA,ID,RIAU,ID-14,SUMATERA,ID-SM,2730230.67
2007,INDONESIA,ID,SULAWESI BARAT,ID-76,SULAWESI,ID-SL,355566.4069
2007,INDONESIA,ID,SULAWESI SELATAN,ID-73,SULAWESI,ID-SL,1174768.379
2007,INDONESIA,ID,SULAWESI TENGAH,ID-72,SULAWESI,ID-SL,5431742.359
2007,INDONESIA,ID,SULAWESI TENGGARA,ID-74,SULAWESI,ID-SL,1617129.932
2007,INDONESIA,ID,SULAWESI UTARA,ID-71,SULAWESI,ID-SL,687551.0005
