year,country,country_iso2,region,region_trase_id,parent_region,parent_region_trase_id,gross_greenhouse_gas_emissions_from_deforestation_tonnes_co₂-
2008,INDONESIA,ID,KEP. BANGKA BELITUNG,ID-19,SUMATERA,ID-SM,1051046.227
2008,INDONESIA,ID,KEP. RIAU,ID-21,SUMATERA,ID-SM,630195.4171
2008,INDONESIA,ID,LAMPUNG,ID-18,SUMATERA,ID-SM,293225.0155
2008,INDONESIA,ID,MALUKU,ID-81,MALUKU,ID-ML,324292.4952
2008,INDONESIA,ID,MALUKU UTARA,ID-82,MALUKU,ID-ML,1080207.481
2008,INDONESIA,ID,NUSA TENGGARA BARAT,ID-52,NUSA TENGGARA,ID-NU,95230.42773
2008,INDONESIA,ID,NUSA TENGGARA TIMUR,ID-53,NUSA TENGGARA,ID-NU,63964.54275
2008,INDONESIA,ID,PAPUA,ID-94,PAPUA,ID-PP,7319775.413
2008,INDONESIA,ID,PAPUA BARAT,ID-91,PAPUA,ID-PP,4139229.018
2008,INDONESIA,ID,RIAU,ID-14,SUMATERA,ID-SM,38071295.68
2008,INDONESIA,ID,SULAWESI BARAT,ID-76,SULAWESI,ID-SL,1045326.95
2008,INDONESIA,ID,SULAWESI SELATAN,ID-73,SULAWESI,ID-SL,799504.4447
2008,INDONESIA,ID,SULAWESI TENGAH,ID-72,SULAWESI,ID-SL,5047758.667
2008,INDONESIA,ID,SULAWESI TENGGARA,ID-74,SULAWESI,ID-SL,1252297.893
2008,INDONESIA,ID,SULAWESI UTARA,ID-71,SULAWESI,ID-SL,316768.1218
2008,INDONESIA,ID,SUMATERA BARAT,ID-13,SUMATERA,ID-SM,11397695.04
2008,INDONESIA,ID,SUMATERA SELATAN,ID-16,SUMATERA,ID-SM,3081528.395
2008,INDONESIA,ID,SUMATERA UTARA,ID-12,SUMATERA,ID-SM,12865537.03
2009,INDONESIA,ID,ACEH,ID-11,SUMATERA,ID-SM,12164796.58
2009,INDONESIA,ID,BALI,ID-51,NUSA TENGGARA,ID-NU,5561.255421
2009,INDONESIA,ID,BANTEN,ID-36,JAWA,ID-JW,7090.188211
2009,INDONESIA,ID,BENGKULU,ID-17,SUMATERA,ID-SM,1627987.601
2009,INDONESIA,ID,D I YOGYAKARTA,ID-34,JAWA,ID-JW,0
2009,INDONESIA,ID,DKI JAKARTA,ID-31,JAWA,ID-JW,0
2009,INDONESIA,ID,GORONTALO,ID-75,SULAWESI,ID-SL,1006555.523
2009,INDONESIA,ID,JAMBI,ID-15,SUMATERA,ID-SM,15253038.04
2009,INDONESIA,ID,JAWA BARAT,ID-32,JAWA,ID-JW,68821.84397
2009,INDONESIA,ID,JAWA TENGAH,ID-33,JAWA,ID-JW,17494.04298
2009,INDONESIA,ID,JAWA TIMUR,ID-35,JAWA,ID-JW,170909.5619
2009,INDONESIA,ID,KALIMANTAN BARAT,ID-61,KALIMANTAN,ID-KA,40071276.14
2009,INDONESIA,ID,KALIMANTAN SELATAN,ID-63,KALIMANTAN,ID-KA,7601256.883
2009,INDONESIA,ID,KALIMANTAN TENGAH,ID-62,KALIMANTAN,ID-KA,31681898.17
2009,INDONESIA,ID,KALIMANTAN TIMUR,ID-64,KALIMANTAN,ID-KA,15048378.01
2009,INDONESIA,ID,KALIMANTAN UTARA,ID-65,KALIMANTAN,ID-KA,17236903.63
2009,INDONESIA,ID,KEP. BANGKA BELITUNG,ID-19,SUMATERA,ID-SM,3274755.869
2009,INDONESIA,ID,KEP. RIAU,ID-21,SUMATERA,ID-SM,669254.2395
